,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
1035,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120745/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,06/01/2023,,,,,,, £260.00,,120745
1036,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120746/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,06/01/2023,,,,,,, £260.00,,120746
1037,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120747/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,06/01/2023,,,,,,, £260.00,,120747
1038,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120749/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box condition.,06/01/2023,,,,,,, £260.00,,120749
1039,Macallan - Harmony - Smooth Arabica,https://www.highlandwhiskyauctions.com/lot-120750/macallan-harmony-smooth-arabica/auction-12,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,06/01/2023,,,,,,, £260.00,,120750
1040,Burberry's - 20 Years Old - 1968 Single Malt Replica Bottling (75cl),https://www.highlandwhiskyauctions.com/lot-120760/burberrys-20-years-old-1968-single-malt-replica-bottling-75cl/auction-12,,20YearsOld,,,75cl,SingleMaltWhisky,,,43%,Box condition.,06/01/2023,,,,,,, £260.00,,120760
1041,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-120251/glenallachie-21-years-old-batch-3/auction-12,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,,,,,,,,, £260.00,120251
1042,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-120252/glenallachie-21-years-old-batch-3/auction-12,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,,,,,,,,, £260.00,120252
1043,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-120260/glenallachie-21-years-old-batch-3/auction-12,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,,,,,,,,, £260.00,120260
1044,Glenallachie - 21 Years Old - Batch 3,https://www.highlandwhiskyauctions.com/lot-120261/glenallachie-21-years-old-batch-3/auction-12,Glenallachie,21YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,2400,Operational,51.5%,None,,,,,,,,, £260.00,120261
