,Name,Link,Distillery,Vintage,Country,Region,Size,Whisky Type,Bottles Produced,Distillery Staus,Strength,Warnings,Sold on,Cask No.,Cask Finish,Fill Level,Bottle No.,Cask Type,Batch No.,Winning Bid,Highest bid,Lot Id
2737,Glendronach - 25 Years Old - Kingsman Edition 1991 Vintage,https://www.highlandwhiskyauctions.com/lot-100425/glendronach-25-years-old-kingsman-edition-1991-vintage/auction-10,Glendronach,25YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,2137,Operational,48.2%,None,,,,,1455,,,," £1,050.00",100425
2738,Macallan - Oscuro,https://www.highlandwhiskyauctions.com/lot-100185/macallan-oscuro/auction-10,Macallan,,Scotland,Speyside,100cl,SingleMaltWhisky,,Operational,46.5%,None,,,,,,,,," £1,050.00",100185
2739,Springbank - Local Barley - Christmas 2011 (Private Bottling),https://www.highlandwhiskyauctions.com/lot-100118/springbank-local-barley-christmas-2011-private-bottling/auction-10,Springbank,,Scotland,Campbeltown,70cl,SingleMaltWhisky,66,Operational,46%,Label lifting.,26/10/2022,,,,,,," £1,000.00",,100118
2740,Aberlour - 30 Years Old - Vintage Edition 1991,https://www.highlandwhiskyauctions.com/lot-100382/aberlour-30-years-old-vintage-edition-1991/auction-10,Aberlour,30YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,150,Operational,43.8%,None,,,,,,,,," £1,000.00",100382
2741,"Johnnie Walker - Blue Label - Brora, Pittyvaich, Port Ellen & Glenury Royal - Ghost and Rare",https://www.highlandwhiskyauctions.com/lot-100299/johnnie-walker-blue-label-brora-pittyvaich-port-ellen-glenury-royal-ghost-and-rare/auction-10,JohnnieWalker,,Scotland,Scotland,280cl,BlendedWhisky,,,46%,Minor marks on boxes.,,,,,,,,," £1,000.00",100299
2742,Macallan - Home Collection - The Distillery & Giclee Art Prints,https://www.highlandwhiskyauctions.com/lot-100625/macallan-home-collection-the-distillery-giclee-art-prints/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,,,,,,,,, £980.00,100625
2743,Macallan - Home Collection - The Distillery & Giclee Art Prints,https://www.highlandwhiskyauctions.com/lot-100383/macallan-home-collection-the-distillery-giclee-art-prints/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £960.00,,100383
2744,Macallan - Home Collection - The Distillery & Giclee Art Prints,https://www.highlandwhiskyauctions.com/lot-100579/macallan-home-collection-the-distillery-giclee-art-prints/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £900.00,,100579
2745,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-100126/macallan-concept-1-2018/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Minor box dents/creases.Minor label lifting.,26/10/2022,,,,,,, £900.00,,100126
2746,Talisker - 30 Years Old - 2009 Release,https://www.highlandwhiskyauctions.com/lot-100406/talisker-30-years-old-2009-release/auction-10,Talisker,30YearsOld,Scotland,Islands,70cl,SingleMaltWhisky,3000,Operational,53.1%,None,26/10/2022,,,,2312,,, £900.00,,100406
2747,Macallan - Classic Cut - 2017,https://www.highlandwhiskyauctions.com/lot-100600/macallan-classic-cut-2017/auction-10,Macallan,,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,58.4%,Box wear.,26/10/2022,,,,,,, £840.00,,100600
2748,Springbank - 25 Years Old - Tri-Centenary,https://www.highlandwhiskyauctions.com/lot-100374/springbank-25-years-old-tri-centenary/auction-10,Springbank,25YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,300,Operational,40%,None,26/10/2022,,,,33,,, £840.00,,100374
2749,Macallan - Home Collection - The Distillery & Giclee Art Prints,https://www.highlandwhiskyauctions.com/lot-100616/macallan-home-collection-the-distillery-giclee-art-prints/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £820.00,,100616
2750,Macallan - 18 Years Old - 1993,https://www.highlandwhiskyauctions.com/lot-100111/macallan-18-years-old-1993/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Label lifting.,26/10/2022,,,,,,, £800.00,,100111
2751,Glen Grant - 1965 - Gordon & MacPhail,https://www.highlandwhiskyauctions.com/lot-100402/glen-grant-1965-gordon-macphail/auction-10,GlenGrant,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,45%,None,26/10/2022,,,,,,, £800.00,,100402
2752,Ardbeg - 2000 Single Cask No.1217 - Lord Robertson of Port Ellen KT 2010,https://www.highlandwhiskyauctions.com/lot-100208/ardbeg-2000-single-cask-no1217-lord-robertson-of-port-ellen-kt-2010/auction-10,Ardbeg,10YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,202,Operational,53%,None,26/10/2022,1217,,,119,,, £800.00,,100208
2753,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-100125/macallan-concept-1-2018/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,,,,,,,,, £740.00,100125
2754,GlenAllachie - 16 Year Old - Billy Walker 50th Anniversary - Past Edition,https://www.highlandwhiskyauctions.com/lot-100188/glenallachie-16-year-old-billy-walker-50th-anniversary-past-edition/auction-10,Glenallachie,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,57.1%,None,,,,,,,,, £740.00,100188
2755,GlenAllachie - 16 Year Old - Billy Walker 50th Anniversary - Past Edition,https://www.highlandwhiskyauctions.com/lot-100189/glenallachie-16-year-old-billy-walker-50th-anniversary-past-edition/auction-10,Glenallachie,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,57.1%,None,,,,,,,,, £740.00,100189
2756,Glengoyne - Vintage Reserve 1968,https://www.highlandwhiskyauctions.com/lot-100202/glengoyne-vintage-reserve-1968/auction-10,Glengoyne,,Scotland,Highland,70cl,SingleMaltWhisky,4500,Operational,50.3%,None,26/10/2022,,,,106,,, £700.00,,100202
2757,Port Ellen - 24 Years Old - 1979 Signatory Vintage - Burgundy Finish 50cl,https://www.highlandwhiskyauctions.com/lot-100183/port-ellen-24-years-old-1979-signatory-vintage-burgundy-finish-50cl/auction-10,PortEllen,24YearsOld,Scotland,Islay,50cl,SingleMaltWhisky,425,Closed,58.8%,None,26/10/2022,03/332/1,,,,,, £660.00,,100183
2758,Glenrothes - 1976 - Single Cask No.2682 ,https://www.highlandwhiskyauctions.com/lot-100090/glenrothes-1976-single-cask-no2682/auction-10,Glenrothes,,Scotland,Speyside,70cl,SingleMaltWhisky,227,Operational,43.6%,None,26/10/2022,2682,,,192,,, £640.00,,100090
2759,Macallan - Ruby - 1824 Series,https://www.highlandwhiskyauctions.com/lot-100161/macallan-ruby-1824-series/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor label marks.Minor box marks.,,,,,,,,, £620.00,100161
2760,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-100134/macallan-concept-1-2018/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £600.00,,100134
2761,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-100235/macallan-concept-1-2018/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £580.00,,100235
2762,Macallan - 18 Years Old - 2016 Release,https://www.highlandwhiskyauctions.com/lot-100110/macallan-18-years-old-2016-release/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box marks/creases.,,,,,,,,, £560.00,100110
2763,Macallan - Concept 1 - 2018,https://www.highlandwhiskyauctions.com/lot-100234/macallan-concept-1-2018/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £560.00,,100234
2764,GlenAllachie - 16 Year Old - Billy Walker 50th Anniversary - Present Edition,https://www.highlandwhiskyauctions.com/lot-100372/glenallachie-16-year-old-billy-walker-50th-anniversary-present-edition/auction-10,Glenallachie,16YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48%,None,,,,,,,,, £540.00,100372
2765,Dalmore - Rivers Collection - 4 x 70cl ,https://www.highlandwhiskyauctions.com/lot-100395/dalmore-rivers-collection-4-x-70cl/auction-10,Dalmore,,Scotland,Highland,280cl,SingleMaltWhisky,,Operational,40%,Minor box creases.Minor label lifting.,26/10/2022,,,,,,, £540.00,,100395
2766,Macallan - 18 Years Old - 2016 Release,https://www.highlandwhiskyauctions.com/lot-100283/macallan-18-years-old-2016-release/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box creases.,26/10/2022,,,,,,, £520.00,,100283
2767,Yamazaki - 18 Years Old,https://www.highlandwhiskyauctions.com/lot-100341/yamazaki-18-years-old/auction-10,Yamazaki,18YearsOld,Japan,Japanese,70cl,SingleMaltWhisky,,Operational,43%,Box tear.Minor label lifting.,,,,,,,,, £500.00,100341
2768,Macallan - 18 Years Old - 2016 Release,https://www.highlandwhiskyauctions.com/lot-100112/macallan-18-years-old-2016-release/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Minor box creases/scratch.,26/10/2022,,,,,,, £500.00,,100112
2769,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100595/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £480.00,,100595
2770,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100613/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £480.00,,100613
2771,Glenlivet - 27 Years Old - Cellar Collection 1994,https://www.highlandwhiskyauctions.com/lot-100108/glenlivet-27-years-old-cellar-collection-1994/auction-10,Glenlivet,27YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,192,Operational,47.3%,None,,,,,97,,,, £480.00,100108
2772,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100363/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £480.00,,100363
2773,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100651/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £480.00,,100651
2774,Macallan - 10 Years Old (1980's) 75cl,https://www.highlandwhiskyauctions.com/lot-100203/macallan-10-years-old-1980s-75cl/auction-10,Macallan,10YearsOld,Scotland,Speyside,75cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £480.00,,100203
2775,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100358/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £460.00,,100358
2776,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100359/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £460.00,,100359
2777,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100360/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £460.00,,100360
2778,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100652/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,Box condition.,26/10/2022,,,,,,, £460.00,,100652
2779,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100654/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £460.00,,100654
2780,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100655/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,Box marks.,26/10/2022,,,,,,, £460.00,,100655
2781,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100657/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £460.00,,100657
2782,Macallan - Edition 2,https://www.highlandwhiskyauctions.com/lot-100181/macallan-edition-2/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.2%,None,26/10/2022,,,,,,, £460.00,,100181
2783,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100221/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,None,26/10/2022,,,,,,, £460.00,,100221
2784,Macallan - Edition 2,https://www.highlandwhiskyauctions.com/lot-100212/macallan-edition-2/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.2%,None,26/10/2022,,,,,,, £450.00,,100212
2785,Hibiki - Japanese Harmony - (Ryusui-Hyakka) Limited Edition 2021,https://www.highlandwhiskyauctions.com/lot-100643/hibiki-japanese-harmony-ryusui-hyakka-limited-edition-2021/auction-10,HibikiSuntory,,Japan,Japanese,70cl,BlendedWhisky,,Operational,43%,None,26/10/2022,,,,,,, £440.00,,100643
2786,Macallan - Home Collection - The Distillery,https://www.highlandwhiskyauctions.com/lot-100653/macallan-home-collection-the-distillery/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43.5%,Box condition.,26/10/2022,,,,,,, £440.00,,100653
2787,Glenfarclas - 1986 The Family Cask #4335 - Winter 2018,https://www.highlandwhiskyauctions.com/lot-100155/glenfarclas-1986-the-family-cask-4335-winter-2018/auction-10,Glenfarclas,,Scotland,Speyside,70cl,SingleMaltWhisky,219,Operational,55%,None,,4335,,,,,,, £440.00,100155
2788,Jameson - Rarest Vintage Reserve - 2007 Edition ,https://www.highlandwhiskyauctions.com/lot-100186/jameson-rarest-vintage-reserve-2007-edition/auction-10,Jameson,,Ireland,Ireland,70cl,IrishWhisky,,Operational,46%,Box damage.,,,,,10461,,,, £440.00,100186
2789,Glenfiddich - Snow Phoenix - Limited Edition,https://www.highlandwhiskyauctions.com/lot-100216/glenfiddich-snow-phoenix-limited-edition/auction-10,Glenfiddich,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,47.6%,Minor tin wear.,26/10/2022,,,,,,, £440.00,,100216
2790,Kilkerran - Port Wood - Christmas 2008 (Private Bottling),https://www.highlandwhiskyauctions.com/lot-100119/kilkerran-port-wood-christmas-2008-private-bottling/auction-10,Glengyle,,Scotland,Campbeltown,70cl,SingleMaltWhisky,60,Operational,46%,Minor label tear.,,,,,,,,, £420.00,100119
2791,Macallan - Edition 3,https://www.highlandwhiskyauctions.com/lot-100573/macallan-edition-3/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.3%,Minor box creases.,26/10/2022,,,,,,, £400.00,,100573
2792,Baron Otard Fortis & Fidelis - Cognac,https://www.highlandwhiskyauctions.com/lot-100089/baron-otard-fortis-fidelis-cognac/auction-10,BaronOtard,,France,France,70cl,Brandy,,Operational,44.3%,Box damage/marks.,,,,,,,,, £400.00,100089
2793,Springbank - 10 Years Old - 100 Proof,https://www.highlandwhiskyauctions.com/lot-100122/springbank-10-years-old-100-proof/auction-10,Springbank,10YearsOld,Scotland,Campbeltown,70cl,SingleMaltWhisky,,Operational,57%,Box wear/creases/damage.,26/10/2022,,,,,,, £400.00,,100122
2794,Tamdhu - 18 Years Old - Cask Strength - Limited Edition,https://www.highlandwhiskyauctions.com/lot-100149/tamdhu-18-years-old-cask-strength-limited-edition/auction-10,Tamdhu,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,1000,Operational,56.8%,None,26/10/2022,,,,999,,, £400.00,,100149
2795,Cragganmore - 17 Years Old - The Manager's Dram,https://www.highlandwhiskyauctions.com/lot-100217/cragganmore-17-years-old-the-managers-dram/auction-10,Cragganmore,17YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,62%,Screw top tamper seal partly broken.,26/10/2022,,,,,,, £400.00,,100217
2796,Yamazaki - Puncheon Cask - 2022 Edition,https://www.highlandwhiskyauctions.com/lot-100605/yamazaki-puncheon-cask-2022-edition/auction-10,Yamazaki,,Japan,Japanese,70cl,SingleMaltWhisky,,Operational,48%,Crease on side of box.,,,,,,,,, £380.00,100605
2797,Macallan - 18 Years Old - 2022 Release,https://www.highlandwhiskyauctions.com/lot-100130/macallan-18-years-old-2022-release/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,26/10/2022,,,,,,, £380.00,,100130
2798,Macallan - Edition 2,https://www.highlandwhiskyauctions.com/lot-100576/macallan-edition-2/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.2%,Box mark.,26/10/2022,,,,,,, £360.00,,100576
2799,Midleton - 1995 - Single Cask #1047,https://www.highlandwhiskyauctions.com/lot-100322/midleton-1995-single-cask-1047/auction-10,Midleton,,Ireland,Ireland,70cl,IrishWhisky,192,Operational,52.7%,None,26/10/2022,1047,,,177,,, £360.00,,100322
2800,Midleton - 1995 - Single Cask #1047,https://www.highlandwhiskyauctions.com/lot-100325/midleton-1995-single-cask-1047/auction-10,Midleton,,Ireland,Ireland,70cl,IrishWhisky,192,Operational,52.7%,None,26/10/2022,1047,,,156,,, £360.00,,100325
2801,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100357/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £360.00,,100357
2802,Macallan - Double Cask Gold 6 x 70cl,https://www.highlandwhiskyauctions.com/lot-100138/macallan-double-cask-gold-6-x-70cl/auction-10,Macallan,,Scotland,Speyside,420cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £360.00,,100138
2803,Macallan - 18 Years Old - 2022 Release,https://www.highlandwhiskyauctions.com/lot-100139/macallan-18-years-old-2022-release/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Mark on top of box.,,,,,,,,, £360.00,100139
2804,Glenesk - Rare Old - Gordon & MacPhail 1979,https://www.highlandwhiskyauctions.com/lot-100396/glenesk-rare-old-gordon-macphail-1979/auction-10,Glenesk,,Scotland,Highland,70cl,SingleMaltWhisky,,Closed,46%,Marks on box.,26/10/2022,,,,,,, £360.00,,100396
2805,Midleton - 1995 - Single Cask #1047,https://www.highlandwhiskyauctions.com/lot-100169/midleton-1995-single-cask-1047/auction-10,Midleton,,Ireland,Ireland,70cl,IrishWhisky,192,Operational,52.7%,None,26/10/2022,1047,,,179,,, £360.00,,100169
2806,Ardbeg - Twenty One - Committee Release 2016,https://www.highlandwhiskyauctions.com/lot-100207/ardbeg-twenty-one-committee-release-2016/auction-10,Ardbeg,21YearsOld,Scotland,Islay,70cl,SingleMaltWhisky,,Operational,46%,Minor box creases.,,,,,,,,, £360.00,100207
2807,Macallan - 12 Years Old - Sherry Oak Cask - 6 x 70cl,https://www.highlandwhiskyauctions.com/lot-100258/macallan-12-years-old-sherry-oak-cask-6-x-70cl/auction-10,Macallan,12YearsOld,Scotland,Speyside,420cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £360.00,,100258
2808,Midleton - 1995 - Single Cask #1047,https://www.highlandwhiskyauctions.com/lot-100324/midleton-1995-single-cask-1047/auction-10,Midleton,,Ireland,Ireland,70cl,IrishWhisky,192,Operational,52.7%,Box chip.,26/10/2022,1047,,,180,,, £340.00,,100324
2809,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100330/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £340.00,,100330
2810,Dalmore - 21 Years Old - 2015 Release,https://www.highlandwhiskyauctions.com/lot-100158/dalmore-21-years-old-2015-release/auction-10,Dalmore,21YearsOld,Scotland,Highland,70cl,SingleMaltWhisky,,Operational,42%,Minor marks on box.,,,,,,,,, £340.00,100158
2811,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100195/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £340.00,,100195
2812,Macallan - 18 Years Old - 2022 Release,https://www.highlandwhiskyauctions.com/lot-100000/macallan-18-years-old-2022-release/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Internal bottle insert has came loose.,26/10/2022,,,,,,, £340.00,,100000
2813,Macallan - Speymalt 2003,https://www.highlandwhiskyauctions.com/lot-100266/macallan-speymalt-2003/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,313,Operational,58.3%,Minor box mark.,26/10/2022,13603601,,,,,, £340.00,,100266
2814,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100302/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £340.00,,100302
2815,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100303/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Mark on box.,26/10/2022,,,,,,, £340.00,,100303
2816,Macallan - 18 Years Old - 2021 Release,https://www.highlandwhiskyauctions.com/lot-100128/macallan-18-years-old-2021-release/auction-10,Macallan,18YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,None,26/10/2022,,,,,,, £330.00,,100128
2817,Redbreast - 25 Years Old - All Sherry,https://www.highlandwhiskyauctions.com/lot-100318/redbreast-25-years-old-all-sherry/auction-10,RedBreast,25YearsOld,Ireland,Ireland,70cl,IrishWhisky,576,Operational,57.7%,None,26/10/2022,43231,,,288,,, £320.00,,100318
2818,Redbreast - 25 Years Old - All Sherry,https://www.highlandwhiskyauctions.com/lot-100319/redbreast-25-years-old-all-sherry/auction-10,RedBreast,25YearsOld,Ireland,Ireland,70cl,IrishWhisky,576,Operational,57.7%,Faulty box lid.,26/10/2022,43231,,,383,,, £320.00,,100319
2819,Redbreast - 25 Years Old - All Sherry,https://www.highlandwhiskyauctions.com/lot-100320/redbreast-25-years-old-all-sherry/auction-10,RedBreast,25YearsOld,Ireland,Ireland,70cl,IrishWhisky,576,Operational,57.7%,None,26/10/2022,43231,,,289,,, £320.00,,100320
2820,Midleton - 1995 - Single Cask #1047,https://www.highlandwhiskyauctions.com/lot-100323/midleton-1995-single-cask-1047/auction-10,Midleton,,Ireland,Ireland,70cl,IrishWhisky,192,Operational,52.7%,None,26/10/2022,1047,,,154,,, £320.00,,100323
2821,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100331/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,None,26/10/2022,,,,,,, £320.00,,100331
2822,Glenfarclas - 1994 The Chancellor's Cask,https://www.highlandwhiskyauctions.com/lot-100097/glenfarclas-1994-the-chancellors-cask/auction-10,Glenfarclas,,Scotland,Speyside,60cl,SingleMaltWhisky,275,Operational,53.9%,None,,,,,,,,, £320.00,100097
2823,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100622/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box marks.,26/10/2022,,,,,,, £320.00,,100622
2824,Hazelburn - Rundlets & Kilderkins - Christmas 2012 (Private Bottling),https://www.highlandwhiskyauctions.com/lot-100121/hazelburn-rundlets-kilderkins-christmas-2012-private-bottling/auction-10,Springbank,,Scotland,Campbeltown,70cl,SingleMaltWhisky,66,Operational,46%,Label marks.Box creases/marks.,,,,,,,,, £320.00,100121
2825,Redbreast - 1998 - All Sherry Single Cask #43231,https://www.highlandwhiskyauctions.com/lot-100167/redbreast-1998-all-sherry-single-cask-43231/auction-10,RedBreast,,Ireland,Ireland,70cl,IrishWhisky,576,Operational,57.7%,None,26/10/2022,43231,,,177,,, £320.00,,100167
2826,Macallan - Edition 3,https://www.highlandwhiskyauctions.com/lot-100182/macallan-edition-3/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,48.3%,None,26/10/2022,,,,,,, £320.00,,100182
2827,Aberlour - 10 Years Old - The Mystery Of Aberlour Bookcase,https://www.highlandwhiskyauctions.com/lot-100437/aberlour-10-years-old-the-mystery-of-aberlour-bookcase/auction-10,Aberlour,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Leather label peeling.Box scratch.,,,,,,,,, £320.00,100437
2828,Macallan - Rare Cask - Black,https://www.highlandwhiskyauctions.com/lot-100259/macallan-rare-cask-black/auction-10,Macallan,,Scotland,Speyside,70cl,,,Operational,48%,Minor dents on box.,26/10/2022,,,,,,, £320.00,,100259
2829,Macallan - 10 Years Old (Early 2000's),https://www.highlandwhiskyauctions.com/lot-100301/macallan-10-years-old-early-2000s/auction-10,Macallan,10YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,,40%,Minor label damage & box wear/marks.,26/10/2022,,,,,,, £320.00,,100301
2830,Redbreast - 25 Years Old - All Sherry,https://www.highlandwhiskyauctions.com/lot-100321/redbreast-25-years-old-all-sherry/auction-10,RedBreast,25YearsOld,Ireland,Ireland,70cl,IrishWhisky,576,Operational,57.7%,None,26/10/2022,43231,,,290,,, £300.00,,100321
2831,Hibiki - Blossom Harmony 2021 Release,https://www.highlandwhiskyauctions.com/lot-100340/hibiki-blossom-harmony-2021-release/auction-10,HibikiSuntory,,Japan,Japanese,70cl,BlendedWhisky,,Operational,43%,None,,,,,,,,, £300.00,100340
2832,Glenfiddich - 26 Years Old - Excellence,https://www.highlandwhiskyauctions.com/lot-100092/glenfiddich-26-years-old-excellence/auction-10,Glenfiddich,26YearsOld,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,43%,Box marks/scratches. ,26/10/2022,,,,,,, £300.00,,100092
2833,Macallan - The Harmony Collection - Rich Cacao,https://www.highlandwhiskyauctions.com/lot-100644/macallan-the-harmony-collection-rich-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,44%,None,26/10/2022,,,,,,, £300.00,,100644
2834,Macallan - The Harmony Collection - Fine Cacao,https://www.highlandwhiskyauctions.com/lot-100304/macallan-the-harmony-collection-fine-cacao/auction-10,Macallan,,Scotland,Speyside,70cl,SingleMaltWhisky,,Operational,40%,Box damage.,26/10/2022,,,,,,, £300.00,,100304
